level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2481	3508	-1	
2	1	1	0	0	0	118	118	473	60	-1	
3	1	1	1	0	0	118	118	473	60	-1	
4	1	1	1	1	0	118	118	473	60	-1	
5	1	1	1	1	1	118	118	473	60	91.733879	SCORZZO
2	1	2	0	0	0	1551	149	758	61	-1	
3	1	2	1	0	0	1551	149	758	61	-1	
4	1	2	1	1	0	1551	149	758	61	-1	
5	1	2	1	1	1	1551	149	422	49	92.955994	Confirmación
5	1	2	1	1	2	1999	149	72	49	93.305359	de
5	1	2	1	1	3	2097	149	212	61	93.129333	pedido
2	1	3	0	0	0	204	204	301	30	-1	
3	1	3	1	0	0	204	204	301	30	-1	
4	1	3	1	1	0	204	204	301	30	-1	
5	1	3	1	1	1	204	204	301	30	95.773804	COLLECTION
2	1	4	0	0	0	132	333	163	37	-1	
3	1	4	1	0	0	132	333	163	37	-1	
4	1	4	1	1	0	132	333	163	37	-1	
5	1	4	1	1	1	132	333	163	37	96.745209	Cliente
2	1	5	0	0	0	1551	333	359	37	-1	
3	1	5	1	0	0	1551	333	359	37	-1	
4	1	5	1	1	0	1551	333	359	37	-1	
5	1	5	1	1	1	1551	333	162	37	91.746231	Pedido
5	1	5	1	1	2	1729	333	181	37	91.746231	firmado
2	1	6	0	0	0	133	424	681	32	-1	
3	1	6	1	0	0	133	424	681	32	-1	
4	1	6	1	1	0	133	424	681	32	-1	
5	1	6	1	1	1	133	424	226	31	92.477180	HERRERAS
5	1	6	1	1	2	376	425	23	30	88.224205	E
5	1	6	1	1	3	416	424	117	32	88.224205	HIJOS
5	1	6	1	1	4	548	424	69	31	90.541122	S.L.
5	1	6	1	1	5	635	424	179	32	90.684288	MELITON
2	1	7	0	0	0	1551	425	521	31	-1	
3	1	7	1	0	0	1551	425	521	31	-1	
4	1	7	1	1	0	1551	425	521	31	-1	
5	1	7	1	1	1	1551	425	120	30	96.434242	Fecha:
5	1	7	1	1	2	1688	425	210	31	96.654709	2026-08-09
5	1	7	1	1	3	1916	425	156	31	96.356430	17:20:25
2	1	8	0	0	0	130	483	544	32	-1	
3	1	8	1	0	0	130	483	544	32	-1	
4	1	8	1	1	0	130	483	544	32	-1	
5	1	8	1	1	1	130	484	181	30	91.381935	AVDA.DE
5	1	8	1	1	2	326	483	186	32	92.584137	SEGOVIA
5	1	8	1	1	3	527	483	147	32	91.216644	N°35-37
2	1	9	0	0	0	1550	484	472	31	-1	
3	1	9	1	0	0	1550	484	472	31	-1	
4	1	9	1	1	0	1550	484	472	31	-1	
5	1	9	1	1	1	1550	484	116	30	95.154114	Desde
5	1	9	1	1	2	1682	484	28	30	95.154114	la
5	1	9	1	1	3	1727	484	44	30	93.251495	IP:
5	1	9	1	1	4	1787	484	235	31	90.104988	62.42.86.131
2	1	10	0	0	0	130	543	382	32	-1	
3	1	10	1	0	0	130	543	382	32	-1	
4	1	10	1	1	0	130	543	382	32	-1	
5	1	10	1	1	1	130	544	114	31	92.661652	47013
5	1	10	1	1	2	258	543	254	32	90.861023	VALLADOLID
2	1	11	0	0	0	344	779	112	32	-1	
3	1	11	1	0	0	344	779	112	32	-1	
4	1	11	1	1	0	344	779	112	32	-1	
5	1	11	1	1	1	344	779	112	32	96.728996	Order
2	1	12	0	0	0	1399	779	243	32	-1	
3	1	12	1	0	0	1399	779	243	32	-1	
4	1	12	1	1	0	1399	779	243	32	-1	
5	1	12	1	1	1	1399	779	146	32	96.522194	Service
5	1	12	1	1	2	1560	780	82	31	96.519478	date
2	1	13	0	0	0	1978	780	207	31	-1	
3	1	13	1	0	0	1978	780	207	31	-1	
4	1	13	1	1	0	1978	780	207	31	-1	
5	1	13	1	1	1	1978	780	110	31	96.311218	Value
5	1	13	1	1	2	2102	780	83	31	96.545441	date
2	1	14	0	0	0	798	780	325	39	-1	
3	1	14	1	0	0	798	780	325	39	-1	
4	1	14	1	1	0	798	780	325	39	-1	
5	1	14	1	1	1	798	780	116	31	95.626503	Fecha
5	1	14	1	1	2	929	780	45	31	93.154114	de
5	1	14	1	1	3	990	780	133	39	91.766991	pedido
2	1	15	0	0	0	282	840	233	28	-1	
3	1	15	1	0	0	282	840	233	28	-1	
4	1	15	1	1	0	282	840	233	28	-1	
5	1	15	1	1	1	282	840	233	28	91.182945	DRSNLKWPS
2	1	16	0	0	0	867	840	185	29	-1	
3	1	16	1	0	0	867	840	185	29	-1	
4	1	16	1	1	0	867	840	185	29	-1	
5	1	16	1	1	1	867	840	185	29	96.434959	09/08/2026
2	1	17	0	0	0	1683	1136	140	27	-1	
3	1	17	1	0	0	1683	1136	140	27	-1	
4	1	17	1	1	0	1683	1136	140	27	-1	
